"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"e:\Coding\kanote\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"e:\Coding\kanote\src\App.js", "JavaScript", 21, 0, 0, 0, 8, 29
"e:\Coding\kanote\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"e:\Coding\kanote\src\handle\Handle.css", "CSS", 0, 83, 0, 0, 22, 105
"e:\Coding\kanote\src\handle\Handle.js", "JavaScript", 59, 0, 0, 0, 12, 71
"e:\Coding\kanote\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"e:\Coding\kanote\src\index.js", "JavaScript", 12, 0, 0, 4, 3, 19
"e:\Coding\kanote\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\Coding\kanote\src\main\Main.css", "CSS", 0, 84, 0, 4, 32, 120
"e:\Coding\kanote\src\main\Main.js", "JavaScript", 686, 0, 0, 14, 119, 819
"e:\Coding\kanote\src\main\components\Card.js", "JavaScript", 107, 0, 0, 0, 8, 115
"e:\Coding\kanote\src\main\components\CodeBlock.js", "JavaScript", 11, 0, 0, 0, 2, 13
"e:\Coding\kanote\src\main\components\Column.js", "JavaScript", 61, 0, 0, 0, 6, 67
"e:\Coding\kanote\src\main\components\Swimlane.js", "JavaScript", 27, 0, 0, 0, 4, 31
"e:\Coding\kanote\src\main\components\css\Card-content.css", "CSS", 0, 195, 0, 0, 36, 231
"e:\Coding\kanote\src\main\components\css\Card.css", "CSS", 0, 131, 0, 0, 36, 167
"e:\Coding\kanote\src\main\components\css\Column.css", "CSS", 0, 65, 0, 0, 20, 85
"e:\Coding\kanote\src\main\components\css\Swimlane.css", "CSS", 0, 39, 0, 0, 11, 50
"e:\Coding\kanote\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 1, 2, 15
"e:\Coding\kanote\src\scripts\DateTime.js", "JavaScript", 21, 0, 0, 0, 1, 22
"e:\Coding\kanote\src\scripts\ElectronClickThrough.js", "JavaScript", 16, 0, 0, 0, 4, 20
"e:\Coding\kanote\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 1041, 609, 1, 27, 332, 2010
