"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"e:\Coding\kanote\src\App.css", "CSS", 0, 0, 0, 0, 1, 1
"e:\Coding\kanote\src\App.js", "JavaScript", 0, 21, 0, 0, 8, 29
"e:\Coding\kanote\src\App.test.js", "JavaScript", 0, 7, 0, 0, 2, 9
"e:\Coding\kanote\src\handle\Handle.css", "CSS", 83, 0, 0, 0, 22, 105
"e:\Coding\kanote\src\handle\Handle.js", "JavaScript", 0, 59, 0, 0, 12, 71
"e:\Coding\kanote\src\index.css", "CSS", 12, 0, 0, 0, 2, 14
"e:\Coding\kanote\src\index.js", "JavaScript", 0, 12, 0, 4, 3, 19
"e:\Coding\kanote\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\Coding\kanote\src\main\Main.css", "CSS", 84, 0, 0, 4, 32, 120
"e:\Coding\kanote\src\main\Main.js", "JavaScript", 0, 846, 0, 14, 145, 1005
"e:\Coding\kanote\src\main\components\Card.js", "JavaScript", 0, 107, 0, 0, 8, 115
"e:\Coding\kanote\src\main\components\CodeBlock.js", "JavaScript", 0, 11, 0, 0, 2, 13
"e:\Coding\kanote\src\main\components\Column.js", "JavaScript", 0, 61, 0, 0, 6, 67
"e:\Coding\kanote\src\main\components\Swimlane.js", "JavaScript", 0, 27, 0, 0, 4, 31
"e:\Coding\kanote\src\main\components\css\Card-content.css", "CSS", 195, 0, 0, 0, 36, 231
"e:\Coding\kanote\src\main\components\css\Card.css", "CSS", 131, 0, 0, 0, 36, 167
"e:\Coding\kanote\src\main\components\css\Column.css", "CSS", 65, 0, 0, 0, 20, 85
"e:\Coding\kanote\src\main\components\css\Swimlane.css", "CSS", 39, 0, 0, 0, 11, 50
"e:\Coding\kanote\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 1, 2, 15
"e:\Coding\kanote\src\scripts\DateTime.js", "JavaScript", 0, 21, 0, 0, 1, 22
"e:\Coding\kanote\src\scripts\ElectronClickThrough.js", "JavaScript", 0, 16, 0, 0, 4, 20
"e:\Coding\kanote\src\setupTests.js", "JavaScript", 0, 1, 0, 4, 1, 6
"Total", "-", 609, 1201, 1, 27, 358, 2196
