"filename", "language", "JSON", "HTML", "JavaScript", "CSS", "Markdown", "XML", "comment", "blank", "total"
"e:\Coding\kanote\README.md", "Markdown", 0, 0, 0, 0, 41, 0, 0, 32, 73
"e:\Coding\kanote\package-lock.json", "JSON", 46972, 0, 0, 0, 0, 0, 0, 1, 46973
"e:\Coding\kanote\package.json", "JSON", 209, 0, 0, 0, 0, 0, 0, 1, 210
"e:\Coding\kanote\public\electron.js", "JavaScript", 0, 0, 181, 0, 0, 0, 1, 41, 223
"e:\Coding\kanote\public\index.html", "HTML", 0, 20, 0, 0, 0, 0, 23, 1, 44
"e:\Coding\kanote\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Coding\kanote\public\scripts\DataManagement.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 12, 56
"e:\Coding\kanote\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\kanote\src\App.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 8, 29
"e:\Coding\kanote\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"e:\Coding\kanote\src\handle\Handle.css", "CSS", 0, 0, 0, 86, 0, 0, 0, 27, 113
"e:\Coding\kanote\src\handle\Handle.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 12, 71
"e:\Coding\kanote\src\index.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 3, 29
"e:\Coding\kanote\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 4, 3, 19
"e:\Coding\kanote\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Coding\kanote\src\main\Main.js", "JavaScript", 0, 0, 930, 0, 0, 0, 38, 173, 1141
"e:\Coding\kanote\src\main\components\Card.js", "JavaScript", 0, 0, 141, 0, 0, 0, 0, 14, 155
"e:\Coding\kanote\src\main\components\CodeBlock.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 13
"e:\Coding\kanote\src\main\components\Column.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 5, 86
"e:\Coding\kanote\src\main\components\ContentElements.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 8, 80
"e:\Coding\kanote\src\main\components\ExpandingButtons.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 7, 65
"e:\Coding\kanote\src\main\components\FormElements.js", "JavaScript", 0, 0, 71, 0, 0, 0, 1, 8, 80
"e:\Coding\kanote\src\main\components\Swimlane.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 4, 45
"e:\Coding\kanote\src\main\components\Verticalgroup.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 5, 43
"e:\Coding\kanote\src\main\css\Board.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 3, 16
"e:\Coding\kanote\src\main\css\Card-content.css", "CSS", 0, 0, 0, 187, 0, 0, 0, 57, 244
"e:\Coding\kanote\src\main\css\Card.css", "CSS", 0, 0, 0, 128, 0, 0, 81, 31, 240
"e:\Coding\kanote\src\main\css\Column.css", "CSS", 0, 0, 0, 72, 0, 0, 1, 18, 91
"e:\Coding\kanote\src\main\css\ExpandingButtons.css", "CSS", 0, 0, 0, 99, 0, 0, 0, 32, 131
"e:\Coding\kanote\src\main\css\FormElement.css", "CSS", 0, 0, 0, 123, 0, 0, 1, 39, 163
"e:\Coding\kanote\src\main\css\General.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 3, 21
"e:\Coding\kanote\src\main\css\Main.css", "CSS", 0, 0, 0, 23, 0, 0, 4, 10, 37
"e:\Coding\kanote\src\main\css\Swimlane.css", "CSS", 0, 0, 0, 44, 0, 0, 0, 9, 53
"e:\Coding\kanote\src\main\css\Verticalgroup.css", "CSS", 0, 0, 0, 24, 0, 0, 0, 7, 31
"e:\Coding\kanote\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 1, 2, 15
"e:\Coding\kanote\src\scripts\DateTime.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 1, 22
"e:\Coding\kanote\src\scripts\ElectronClickThrough.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 4, 20
"e:\Coding\kanote\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 47206, 20, 1817, 843, 41, 1, 159, 588, 50675
